x, y
2.55836, 0.41941
5.7742, 0.25578
8.49222, 0.31169
12.01285, 0.19789
16.70103, 0.07672
22.80254, 0.0964
28.1981, 0.11867
33.05507, 0.17443
39.06677, 0.13505
47.08626, 0.03954
