"country","iso_code","year","population","births_per_day","deaths_per_day","birth_rate_per_day","death_rate_per_day"
"Burundi","BDI",2023,13503998,1262.6904109589,251.953424657534,9.35049317216208e-05,1.86576912006011e-05
"Comoros","COM",2023,842267,66.7561643835616,16.7643835616438,7.92577227691001e-05,1.99038826899829e-05
"Eritrea","ERI",2023,3438999,271.391780821918,57.4904109589041,7.89159231572669e-05,1.67171932759806e-05
"Ethiopia","ETH",2023,127028360,11248.4520547945,2101.41917808219,8.85507146183303e-05,1.65429135516053e-05
"Kenya","KEN",2023,54793511,4109.58356164384,1093.21643835616,7.5001281842367e-05,1.99515675926692e-05
"Madagascar","MDG",2023,30813475,2743.13424657534,643.4,8.90238522781135e-05,2.08804751817184e-05
"Malawi","MWI",2023,20832833,1814.4904109589,310.084931506849,8.70976314627446e-05,1.48844341769e-05
"Mauritius","MUS",2023,1274659,32.3397260273973,30.4767123287671,2.53712765746739e-05,2.39096984595622e-05
"Mozambique","MOZ",2023,33140626,3454.39726027397,645.260273972603,0.000104234520502841,1.94703707157675e-05
"Rwanda","RWA",2023,13802596,1083.77534246575,226.920547945205,7.85196743037146e-05,1.64404252609586e-05
"Seychelles","SYC",2023,126694,4.77808219178082,2.87945205479452,3.77135633240787e-05,2.27276118426644e-05
"Somalia","SOM",2023,18031404,2160.99452054795,494.668493150685,0.000119846159541872,2.74337202555433e-05
"South Sudan","SSD",2023,11146895,899.47397260274,302.298630136986,8.06927823939079e-05,2.71195368878047e-05
"Uganda","UGA",2023,47981110,4692.46575342466,645.432876712329,9.77981908593748e-05,1.3451812113399e-05
"Tanzania","TZA",2023,65657004,6428.46849315068,1056.98356164384,9.79098664500544e-05,1.60985652291389e-05
"Zambia","ZMB",2023,20430382,1878.2602739726,295.66301369863,9.19346625027669e-05,1.4471732036074e-05
"Zimbabwe","ZWE",2023,16203259,1361.41643835616,340.854794520548,8.40211489772622e-05,2.10361875052758e-05
"Angola","AGO",2023,36186956,3784.57534246575,697.21095890411,0.000104583965074757,1.92669137162051e-05
"Cameroon","CMR",2023,27997833,2622.99178082192,555.841095890411,9.36855284772189e-05,1.9853004191089e-05
"Central African Republic","CAF",2023,5064592,654.405479452055,132.956164383562,0.000129211885074268,2.62520977767926e-05
"Chad","TCD",2023,18767684,2243.98356164384,583.898630136986,0.00011956635467881,3.11119171729973e-05
"Congo","COG",2023,6108142,518.808219178082,106.520547945205,8.49371575150156e-05,1.74391079881911e-05
"Democratic Republic of Congo","COD",2023,104063312,11971.7342465753,2470.82465753425,0.00011504279478031,2.37434751022939e-05
"Equatorial Guinea","GNQ",2023,1825480,149.846575342466,39.8794520547945,8.20861227416711e-05,2.18460087510104e-05
"Gabon","GAB",2023,2457715,188.342465753425,42.6767123287671,7.6633159562205e-05,1.73643861590002e-05
"São Tomé & Príncipe","STP",2023,228558,17.827397260274,3.52602739726027,7.79994454811206e-05,1.54272762154914e-05
"Algeria","DZA",2023,45831343,2482.1397260274,587.01095890411,5.41581276819097e-05,1.2808068026811e-05
"Botswana","BWA",2023,2459937,167.928767123288,38.8958904109589,6.8265474735039e-05,1.58117425002994e-05
"Eswatini","SWZ",2023,1224706,81.1561643835616,25.958904109589,6.62658339091681e-05,2.11960291772793e-05
"Lesotho","LSO",2023,2298496,152.679452054795,67.4301369863014,6.6425807160332e-05,2.9336634471542e-05
"Namibia","NAM",2023,2928037,210.178082191781,50.0794520547945,7.17812248246114e-05,1.71034218675497e-05
"South Africa","ZAF",2023,62796883,3251.48767123288,1600.04109589041,5.17778513183987e-05,2.54796260491211e-05
"Benin","BEN",2023,13934166,1309.75890410959,340.087671232877,9.39962179372335e-05,2.44067475034298e-05
"Burkina Faso","BFA",2023,22765636,1996.19726027397,502.397260273973,8.76846691335121e-05,2.20682286352102e-05
"Cape Verde","CPV",2023,521047,17.6438356164384,7.23835616438356,3.3862272724799e-05,1.389194480418e-05
"Côte d’Ivoire","CIV",2023,30783520,2731.5095890411,654.084931506849,8.87328541063886e-05,2.12478927525783e-05
"Gambia","GMB",2023,2666786,224.909589041096,46.5068493150685,8.43373217952606e-05,1.74392880850089e-05
"Ghana","GHA",2023,33467371,2435.47123287671,651.695890410959,7.27715132711414e-05,1.9472574956992e-05
"Guinea","GIN",2023,14229395,1335.87671232877,360.150684931507,9.38814835296066e-05,2.53103301251745e-05
"Guinea-Bissau","GNB",2023,2129290,177.202739726027,41.5917808219178,8.32215150242698e-05,1.95331687191119e-05
"Liberia","LBR",2023,5432670,465.931506849315,121.460273972603,8.57647357283463e-05,2.23573811721681e-05
"Mali","MLI",2023,23415909,2606.69863013699,561.772602739726,0.000111321692877137,2.3991065336807e-05
"Mauritania","MRT",2023,4948362,473.657534246575,75.958904109589,9.57200653967061e-05,1.53503127114769e-05
"Niger","NER",2023,25727295,3002.44383561644,634.920547945205,0.000116702662896213,2.46788691910753e-05
"Nigeria","NGA",2023,225494749,20574.6794520548,7329.97808219178,9.12423883185626e-05,3.25062029812135e-05
"Senegal","SEN",2023,17867073,1457.23287671233,276.38904109589,8.15596867328145e-05,1.54691840737367e-05
"Sierra Leone","SLE",2023,8368119,709.323287671233,192.098630136986,8.47649618356566e-05,2.29560107996775e-05
"Togo","TGO",2023,9196283,793.860273972603,196.331506849315,8.63240370019716e-05,2.13490066420656e-05
