"country","iso_code","year","population","births_per_day","deaths_per_day","birth_rate_per_day","death_rate_per_day"
"Burundi","BDI",2017,11363999,1217.45753424658,247.915068493151,0.000107132844190375,2.18158298406354e-05
"Comoros","COM",2017,749228,64.9917808219178,16.227397260274,8.6744997279757e-05,2.1658823829694e-05
"Eritrea","ERI",2017,3133491,255.060273972603,56.9972602739726,8.13981192135553e-05,1.81896996908472e-05
"Ethiopia","ETH",2017,108181043,9981.68219178082,2038.93424657534,9.22683116651114e-05,1.88474264070031e-05
"Kenya","KEN",2017,48679225,3990.01643835616,960.46301369863,8.1965488118518e-05,1.9730449975295e-05
"Madagascar","MDG",2017,26440012,2465.43835616438,548.986301369863,9.32464915736189e-05,2.07634664224004e-05
"Malawi","MWI",2017,17796890,1664.7095890411,336.854794520548,9.353935373209e-05,1.89277336950753e-05
"Mauritius","MUS",2017,1291384,37.1643835616438,26.5698630136986,2.87787238820086e-05,2.0574719071708e-05
"Mozambique","MOZ",2017,27740616,3067.85753424658,666.197260273973,0.000110590822289115,2.40152295202808e-05
"Rwanda","RWA",2017,12059717,1058.60273972603,208.38904109589,8.77800647996987e-05,1.72797621284057e-05
"Seychelles","SYC",2017,111116,4.95616438356164,2.43561643835616,4.46035168973113e-05,2.19195834835322e-05
"Somalia","SOM",2017,14658320,1886.24931506849,575.128767123288,0.000128681139112019,3.92356536849576e-05
"South Sudan","SSD",2017,10558287,921.967123287671,724.180821917808,8.73216576976617e-05,6.85888555518341e-05
"Uganda","UGA",2017,39485615,4176.65479452055,640.58904109589,0.000105776617497804,1.62233522536217e-05
"Tanzania","TZA",2017,54729864,5734.67671232877,1003.40547945205,0.000104781490272455,1.83337835345627e-05
"Zambia","ZMB",2017,17176111,1717.26301369863,334.72602739726,9.99797342773711e-05,1.94878821752643e-05
"Zimbabwe","ZWE",2017,14704586,1291.03561643836,348.484931506849,8.77981615013409e-05,2.36990644623962e-05
"Angola","AGO",2017,29706124,3362.69315068493,678.578082191781,0.000113198650577401,2.28430367486442e-05
"Cameroon","CMR",2017,23799317,2479.99726027397,571.832876712329,0.000104204555965786,2.40272809808924e-05
"Central African Republic","CAF",2017,4758570,574.454794520548,222.512328767123,0.000120720047098298,4.67603353039092e-05
"Chad","TCD",2017,15367145,1922.53150684932,568.26301369863,0.000125106615890545,3.69790884187421e-05
"Congo","COG",2017,5285827,489.841095890411,100.879452054795,9.26706636237643e-05,1.90848947676105e-05
"Democratic Republic of Congo","COD",2017,85553637,10253.4739726027,2354.22739726027,0.000119848487243187,2.75175606767048e-05
"Equatorial Guinea","GNQ",2017,1535327,141.558904109589,38.1616438356164,9.22011428898137e-05,2.48557107610408e-05
"Gabon","GAB",2017,2129163,181.854794520548,40.8821917808219,8.54114008746855e-05,1.92010624742314e-05
"São Tomé & Príncipe","STP",2017,205352,17.3315068493151,3.61369863013699,8.43990165633404e-05,1.75975818601084e-05
"Algeria","DZA",2017,41272200,2857.17260273973,532.238356164384,6.92275333696708e-05,1.28958077389716e-05
"Botswana","BWA",2017,2250626,161.917808219178,43.6876712328767,7.1943454051974e-05,1.94113421034311e-05
"Eswatini","SWZ",2017,1152879,85.441095890411,32.6219178082192,7.41110696702871e-05,2.82960465133107e-05
"Lesotho","LSO",2017,2143732,166.904109589041,74.8438356164384,7.78567981394321e-05,3.49128695268058e-05
"Namibia","NAM",2017,2472326,203.649315068493,58.5178082191781,8.23715460940398e-05,2.36691311013103e-05
"South Africa","ZAF",2017,57140601,3164.04383561644,1394.25753424658,5.53729533859197e-05,2.44004702408814e-05
"Benin","BEN",2017,11868036,1248.18356164384,317.32602739726,0.000105171871878703,2.67378719947648e-05
"Burkina Faso","BFA",2017,19616809,2056.29589041096,494.734246575342,0.000104823159078062,2.52199145424387e-05
"Cape Verde","CPV",2017,512668,23.6054794520548,7.18630136986301,4.60443785296816e-05,1.40174564627849e-05
"Côte d’Ivoire","CIV",2017,26366506,2679.18356164384,666.750684931507,0.000101613143646861,2.5287790689123e-05
"Gambia","GMB",2017,2313200,214.654794520548,45.7068493150685,9.27956054472367e-05,1.97591428821842e-05
"Ghana","GHA",2017,29690208,2378.11232876712,621.397260273973,8.00975300936633e-05,2.09293670247771e-05
"Guinea","GIN",2017,12228243,1251.84383561644,351.72602739726,0.000102373156602828,2.87634149400908e-05
"Guinea-Bissau","GNB",2017,1854605,169.893150684931,42.9890410958904,9.16061105652856e-05,2.3179621049167e-05
"Liberia","LBR",2017,4801639,443.495890410959,116.435616438356,9.2363438903041e-05,2.42491400203881e-05
"Mali","MLI",2017,19498990,2358.24657534247,544.605479452055,0.000120941985987093,2.79299327530326e-05
"Mauritania","MRT",2017,4147819,427.356164383562,75.1369863013699,0.000103031536425182,1.81148180046839e-05
"Niger","NER",2017,21062672,2646.06301369863,584.764383561644,0.000125628078607435,2.77630674570465e-05
"Nigeria","NGA",2017,197862099,20131.3890410959,7237.47123287671,0.000101744544017477,3.65783607343451e-05
"Senegal","SEN",2017,15255010,1390.68493150685,266.364383561644,9.11625054003144e-05,1.74607806590519e-05
"Sierra Leone","SLE",2017,7292048,683.504109589041,208.832876712329,9.37328045000583e-05,2.86384396691202e-05
"Togo","TGO",2017,7956981,748.824657534247,194.569863013699,9.41091423410772e-05,2.44527243452886e-05
