x, y
1.05351, 0.42048
1.99582, 0.42156
2.99943, 0.42156
4.03612, 0.42095
5.0557, 0.25674
5.97292, 0.25619
6.95059, 0.25675
7.983, 0.31481
9.00942, 0.31531
10.04098, 0.31773
11.09762, 0.19888
11.91847, 0.20019
13.06978, 0.19856
13.90745, 0.19804
14.9065, 0.07686
16.10485, 0.07866
17.35224, 0.07866
18.15513, 0.07923
19.23031, 0.07991
19.99756, 0.09655
20.97351, 0.10041
21.98283, 0.10041
22.98844, 0.10098
24.02541, 0.09761
25.00849, 0.09981
26.07112, 0.12135
27.12321, 0.1231
28.05668, 0.1231
29.05174, 0.12224
30.15315, 0.12125
31.0584, 0.17782
31.95167, 0.17895
33.01687, 0.17895
34.06239, 0.17895
35.12018, 0.17895
36.07475, 0.13259
37.09091, 0.13446
38.12417, 0.139
39.1486, 0.13509
40.06525, 0.13714
40.98475, 0.13714
42.04682, 0.13658
43.12256, 0.13727
44.02639, 0.13215
44.26474, 0.03912
45.32139, 0.03912
46.57619, 0.04156
47.75486, 0.04156
48.98828, 0.04156
50.07315, 0.03996
51.29916, 0.03996
52.49437, 0.04139
53.63142, 0.04139
54.66867, 0.04351
55.87643, 0.04136
57.17457, 0.04018
58.48468, 0.04241
59.86323, 0.04153
61.00883, 0.0421
62.16298, 0.0421
63.27494, 0.04389
64.38091, 0.04337
65.20775, 0.04337
