"country","iso_code","cases_total","deaths_total","cfr","shape2","shape1","cfr_hi","cfr_lo"
"AFRO Region","AFRO",1444871,28215,0.0195276948599564,1.90990461022593,0.00842963960021646,0.0197546259028324,0.0193026926549984
"Angola","AGO",43127,1049,0.0243235096343358,1.90687207598858,0.00922814080113224,0.0258214454434644,0.0228900908306308
"Burundi","BDI",10292,59,0.00573260785075787,1.9112013079226,0.00636418759822757,0.00738849628997307,0.00436670640882682
"Benin","BEN",3617,56,0.0154824440143766,1.90584468267043,0.00845863751601339,0.0200586681353745,0.0117159081320988
"Burkina Faso","BFA",7,0,0.0195276948599564,1.90990461022593,0.00842963960021646,0.0197546259028324,0.0193026926549984
"Cote d'Ivoire","CIV",446,18,0.0403587443946188,1.86279019215144,0.0132138466462484,0.0630358330346678,0.0240915930830312
"Côte D’ivoire","CIV",503,20,0.0397614314115308,1.85355650504353,0.0129347662907085,0.0607421863017245,0.0244535717083381
"Cameroon","CMR",29981,926,0.0308862279443648,1.92922441586852,0.0101363092660895,0.0329073011334838,0.0289567437927567
"Democratic Republic of Congo","COD",419069,8672,0.0206934896162684,1.91552931835176,0.00861226725391955,0.0211290157296197,0.020264608442499
"Congo","COG",1431,111,0.0775681341719078,1.90124756507576,0.0164927676320067,0.0926615842297938,0.0642380114122781
"Comoros","COM",11171,153,0.0136961776027213,1.89565963745117,0.00786437988281161,0.0160275882980029,0.0116235871363344
"Ethiopia","ETH",82589,1016,0.0123018803956943,1.92212009429932,0.00742416381835849,0.0130770814083689,0.0115612249381162
"Ghana","GHA",36994,302,0.00816348597069795,1.92117172218859,0.00672361701726825,0.00913361447055594,0.00727180693435863
"Guinea","GIN",1,0,0.0195276948599564,1.90990461022593,0.00842963960021646,0.0197546259028324,0.0193026926549984
"Guinea-Bissau","GNB",11,2,0.0195276948599564,1.90990461022593,0.00842963960021646,0.0197546259028324,0.0193026926549984
"Kenya","KEN",48656,709,0.0145716869450839,1.91504696086049,0.00783557593822391,0.0156761610381689,0.0135256983265034
"Liberia","LBR",580,0,0,1.93806064147502,0.00616376921534449,0.00633995412984043,0
"Mali","MLI",12,4,0.0195276948599564,1.90990461022593,0.00842963960021646,0.0197546259028324,0.0193026926549984
"Mozambique","MOZ",99439,457,0.00459578233892135,1.90424581468105,0.0057911515235892,0.00503598588303608,0.00418487185745251
"Malawi","MWI",65556,1886,0.0287692964793459,1.90999578853371,0.00975959110073657,0.0300775494643378,0.0275029804566001
"Namibia","NAM",791,14,0.0176991150442478,1.88162302784622,0.0096075013279906,0.0295179521362419,0.00970919690020247
"Niger","NER",12705,357,0.028099173553719,1.89679945218377,0.00984772462397725,0.0311224193878888,0.0252947861887114
"Nigeria","NGA",292418,7831,0.0267801571722671,1.89065361717076,0.00937880453420714,0.027371715437512,0.0261980028410566
"Rwanda","RWA",823,0,0,1.92006234377623,0.00567434430122287,0.00447220483564808,0
"Sudan","SDN",362,11,0.0303867403314917,1.85450936854884,0.0122066757555322,0.0537188851215656,0.0152645782473811
"Somalia","SOM",134839,1849,0.013712649900993,1.90616204440594,0.00764352083206088,0.0143476551244781,0.0130986856429839
"South Sudan","SSD",134119,2346,0.0174919288094901,1.92608317798004,0.00823174156248481,0.0182077825534932,0.0167970464521916
"Eswatini","SWZ",2,0,0.0195276948599564,1.90990461022593,0.00842963960021646,0.0197546259028324,0.0193026926549984
"Chad","TCD",4338,257,0.0592438911940987,1.86238107695826,0.0135950986063099,0.0666863692065146,0.0524020416807431
