"Country","iso_code","Weighted_Mean_WASH"
"South Africa","ZAF",0.913309900436136
"Gambia","GMB",0.823907907958588
"Senegal","SEN",0.802617145990318
"Namibia","NAM",0.790012651929884
"Gabon","GAB",0.757211839344243
"Mauritania","MRT",0.745641645018617
"Burundi","BDI",0.725439309848231
"Eswatini","SWZ",0.715102219034724
"Eritrea","ERI",0.709425882598199
"Mali","MLI",0.709158179331758
"Cameroon","CMR",0.702195043279203
"Djibouti","DJI",0.697163746325866
"Côte d’Ivoire","CIV",0.696995593022847
"Rwanda","RWA",0.691715296020389
"Equatorial Guinea","GNQ",0.691454014537071
"Niger","NER",0.68748802567638
"Botswana","BWA",0.687400562249389
"Guinea-Bissau","GNB",0.680635392478507
"Malawi","MWI",0.672665705198764
"Lesotho","LSO",0.670951375118605
"Tanzania","TZA",0.662459438552131
"Zimbabwe","ZWE",0.662058780328589
"Benin","BEN",0.657335789147831
"Mauritius","MUS",0.652820522449607
"Mozambique","MOZ",0.64894201077891
"Sudan","SDN",0.636079830581899
"Ghana","GHA",0.6325538107765
"Ethiopia","ETH",0.63228528227706
"Democratic Republic of Congo","COD",0.62881883749221
"Zambia","ZMB",0.627881103961712
"Uganda","UGA",0.626706892794503
"Somalia","SOM",0.625693855744188
"Guinea","GIN",0.624492614086347
"Egypt","EGY",0.623880988529344
"Algeria","DZA",0.623762257219239
"Central African Republic","CAF",0.617233034110135
"Congo","COG",0.615583176673807
"Burkina Faso","BFA",0.601725306457658
"Libya","LBY",0.597699942470216
"Morocco","MAR",0.590317250426874
"Cape Verde","CPV",0.589372176640995
"Kenya","KEN",0.584967034702784
"Chad","TCD",0.573613963043334
"Angola","AGO",0.560481455873029
"Togo","TGO",0.554660601903563
"Nigeria","NGA",0.544526656403814
"Tunisia","TUN",0.537695750227864
"Sierra Leone","SLE",0.534945174425158
"Madagascar","MDG",0.528217104281272
"Liberia","LBR",0.472575435225232
"South Sudan","SSD",0.468515955634025
